"VersionEffective","LOINC_NUM","Property","ValuePrior","ValueCurrent","ChangeReason"
"2.82","25181-9","SHORTNAME","Ciprofloxacin 4 ug/mL Islt SlowMyco","Ciprofloxacin Islt Slgr Mcbct AB 4.0",""
"2.82","25182-7","COMPONENT","Kanamycin 5.0 ug/mL","Kanamycin",""
"2.82","25182-7","LONG_COMMON_NAME","Kanamycin 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Kanamycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25182-7","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25182-7","SHORTNAME","Kanamycin 5 ug/mL Islt SlowMyco","Kanamycin Islt Slgr Mcbct AB 5.0",""
"2.82","25183-5","COMPONENT","Ethionamide 11.0 ug/mL","Ethionamide",""
"2.82","25183-5","LONG_COMMON_NAME","Ethionamide 11 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Ethionamide [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 11.0 ug/mL",""
"2.82","25183-5","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 11.0 ug/mL",""
"2.82","25183-5","SHORTNAME","Ethionamide 11 ug/mL Islt SlowMyco","Ethionamide Islt Slgr Mcbct AB 11.0",""
"2.82","25184-3","COMPONENT","rifAMPin 14.0 ug/mL","rifAMPin",""
"2.82","25184-3","LONG_COMMON_NAME","rifAMPin 14 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","rifAMPin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 14.0 ug/mL",""
"2.82","25184-3","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 14.0 ug/mL",""
"2.82","25184-3","SHORTNAME","rifAMPin 14 ug/mL Islt SlowMyco","rifAMPin Islt Slgr Mcbct AB 14.0",""
"2.82","25185-0","COMPONENT","Streptomycin 6.0 ug/mL","Streptomycin",""
"2.82","25185-0","LONG_COMMON_NAME","Streptomycin 6 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Streptomycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 6.0 ug/mL",""
"2.82","25185-0","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 6.0 ug/mL",""
"2.82","25185-0","SHORTNAME","Streptomycin 6 ug/mL Islt SlowMyco","Streptomycin Islt Slgr Mcbct AB 6.0",""
"2.82","25186-8","COMPONENT","Pyrazinamide 25.0 ug/mL","Pyrazinamide",""
"2.82","25186-8","LONG_COMMON_NAME","Pyrazinamide 25 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Pyrazinamide [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 25.0 ug/mL",""
"2.82","25186-8","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 25.0 ug/mL",""
"2.82","25186-8","SHORTNAME","PZA 25 ug/mL Islt SlowMyco","PZA Islt Slgr Mcbct AB 25.0",""
"2.82","25187-6","COMPONENT","Ethambutol 7.5 ug/mL","Ethambutol",""
"2.82","25187-6","LONG_COMMON_NAME","Ethambutol 7.5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Ethambutol [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 7.5 ug/mL",""
"2.82","25187-6","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 7.5 ug/mL",""
"2.82","25187-6","SHORTNAME","Ethambutol 7.5 ug/mL Islt SlowMyco","Ethambutol Islt Slgr Mcbct AB 7.5",""
"2.82","25188-4","COMPONENT","Ciprofloxacin 8.0 ug/mL","Ciprofloxacin",""
"2.82","25188-4","LONG_COMMON_NAME","Ciprofloxacin 8 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Ciprofloxacin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL",""
"2.82","25188-4","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL",""
"2.82","25188-4","SHORTNAME","Ciprofloxacin 8 ug/mL Islt SlowMyco","Ciprofloxacin Islt Slgr Mcbct AB 8.0",""
"2.82","25189-2","COMPONENT","Ciprofloxacin 5.0 ug/mL","Ciprofloxacin",""
"2.82","25189-2","LONG_COMMON_NAME","Ciprofloxacin 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Ciprofloxacin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25189-2","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25189-2","SHORTNAME","Ciprofloxacin 5 ug/mL Islt SlowMyco","Ciprofloxacin Islt Slgr Mcbct AB 5.0",""
"2.82","25190-0","COMPONENT","Clarithromycin 8.0 ug/mL","Clarithromycin",""
"2.82","25190-0","LONG_COMMON_NAME","Clarithromycin 8 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Clarithromycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL",""
"2.82","25190-0","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL",""
"2.82","25190-0","SHORTNAME","Clarithro 8 ug/mL Islt SlowMyco","Clarithro Islt Slgr Mcbct AB 8.0",""
"2.82","25191-8","COMPONENT","Clarithromycin 16.0 ug/mL","Clarithromycin",""
"2.82","25191-8","LONG_COMMON_NAME","Clarithromycin 16 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Clarithromycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 16.0 ug/mL",""
"2.82","25191-8","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 16.0 ug/mL",""
"2.82","25191-8","SHORTNAME","Clarithro 16 ug/mL Islt SlowMyco","Clarithro Islt Slgr Mcbct AB 16.0",""
"2.82","25192-6","COMPONENT","Clarithromycin 32.0 ug/mL","Clarithromycin",""
"2.82","25192-6","LONG_COMMON_NAME","Clarithromycin 32 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Clarithromycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 32.0 ug/mL",""
"2.82","25192-6","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 32.0 ug/mL",""
"2.82","25192-6","SHORTNAME","Clarithro 32 ug/mL Islt SlowMyco","Clarithro Islt Slgr Mcbct AB 32.0",""
"2.82","25194-2","COMPONENT","Ethambutol 5.0 ug/mL","Ethambutol",""
"2.82","25194-2","LONG_COMMON_NAME","Ethambutol 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Ethambutol [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25194-2","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25194-2","SHORTNAME","Ethambutol 5 ug/mL Islt SlowMyco","Ethambutol Islt Slgr Mcbct AB 5.0",""
"2.82","25195-9","COMPONENT","Ethambutol 10.0 ug/mL","Ethambutol",""
"2.82","25195-9","LONG_COMMON_NAME","Ethambutol 10 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Ethambutol [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25195-9","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25195-9","SHORTNAME","Ethambutol 10 ug/mL Islt SlowMyco","Ethambutol Islt Slgr Mcbct AB 10.0",""
"2.82","25196-7","COMPONENT","Ethionamide 5.0 ug/mL","Ethionamide",""
"2.82","25196-7","LONG_COMMON_NAME","Ethionamide 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Ethionamide [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25196-7","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25196-7","SHORTNAME","Ethionamide 5 ug/mL Islt SlowMyco","Ethionamide Islt Slgr Mcbct AB 5.0",""
"2.82","25198-3","COMPONENT","Ethionamide 15.0 ug/mL","Ethionamide",""
"2.82","25198-3","LONG_COMMON_NAME","Ethionamide 15 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Ethionamide [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 15.0 ug/mL",""
"2.82","25198-3","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 15.0 ug/mL",""
"2.82","25198-3","SHORTNAME","Ethionamide 15 ug/mL Islt SlowMyco","Ethionamide Islt Slgr Mcbct AB 15.0",""
"2.82","25199-1","COMPONENT","Rifabutin 1.0 ug/mL","Rifabutin",""
"2.82","25199-1","LONG_COMMON_NAME","Rifabutin 1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Rifabutin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL",""
"2.82","25199-1","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL",""
"2.82","25199-1","SHORTNAME","Rifabutin 1 ug/mL Islt SlowMyco","Rifabutin Islt Slgr Mcbct AB 1.0",""
"2.82","25200-7","COMPONENT","Rifabutin 2.0 ug/mL","Rifabutin",""
"2.82","25200-7","LONG_COMMON_NAME","Rifabutin 2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Rifabutin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL",""
"2.82","25200-7","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL",""
"2.82","25200-7","SHORTNAME","Rifabutin 2 ug/mL Islt SlowMyco","Rifabutin Islt Slgr Mcbct AB 2.0",""
"2.82","25201-5","COMPONENT","Rifabutin 4.0 ug/mL","Rifabutin",""
"2.82","25201-5","LONG_COMMON_NAME","Rifabutin 4 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Rifabutin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 4.0 ug/mL",""
"2.82","25201-5","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 4.0 ug/mL",""
"2.82","25201-5","SHORTNAME","Rifabutin 4 ug/mL Islt SlowMyco","Rifabutin Islt Slgr Mcbct AB 4.0",""
"2.82","25202-3","COMPONENT","rifAMPin 1.0 ug/mL","rifAMPin",""
"2.82","25202-3","LONG_COMMON_NAME","rifAMPin 1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","rifAMPin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL",""
"2.82","25202-3","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL",""
"2.82","25202-3","SHORTNAME","rifAMPin 1 ug/mL Islt SlowMyco","rifAMPin Islt Slgr Mcbct AB 1.0",""
"2.82","25203-1","COMPONENT","rifAMPin 2.0 ug/mL","rifAMPin",""
"2.82","25203-1","LONG_COMMON_NAME","rifAMPin 2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","rifAMPin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL",""
"2.82","25203-1","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL",""
"2.82","25203-1","SHORTNAME","rifAMPin 2 ug/mL Islt SlowMyco","rifAMPin Islt Slgr Mcbct AB 2.0",""
"2.82","25204-9","COMPONENT","rifAMPin 5.0 ug/mL","rifAMPin",""
"2.82","25204-9","LONG_COMMON_NAME","rifAMPin 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","rifAMPin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25204-9","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL",""
"2.82","25204-9","SHORTNAME","rifAMPin 5 ug/mL Islt SlowMyco","rifAMPin Islt Slgr Mcbct AB 5.0",""
"2.82","25205-6","COMPONENT","Streptomycin 2.0 ug/mL","Streptomycin",""
"2.82","25205-6","LONG_COMMON_NAME","Streptomycin 2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Streptomycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL",""
"2.82","25205-6","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL",""
"2.82","25205-6","SHORTNAME","Streptomycin 2 ug/mL Islt SlowMyco","Streptomycin Islt Slgr Mcbct AB 2.0",""
"2.82","25206-4","COMPONENT","Streptomycin 10.0 ug/mL","Streptomycin",""
"2.82","25206-4","LONG_COMMON_NAME","Streptomycin 10 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Streptomycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25206-4","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25206-4","SHORTNAME","Streptomycin 10 ug/mL Islt SlowMyco","Streptomycin Islt Slgr Mcbct AB 10.0",""
"2.82","25207-2","COMPONENT","cycloSERINE 10.0 ug/mL","cycloSERINE",""
"2.82","25207-2","LONG_COMMON_NAME","cycloSERINE 10 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","cycloSERINE [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25207-2","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25207-2","SHORTNAME","cycloSERINE 10 ug/mL Islt SlowMyco","cycloSERINE Islt Slgr Mcbct AB 10.0",""
"2.82","25208-0","COMPONENT","cycloSERINE 20.0 ug/mL","cycloSERINE",""
"2.82","25208-0","LONG_COMMON_NAME","cycloSERINE 20 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","cycloSERINE [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 20.0 ug/m",""
"2.82","25208-0","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 20.0 ug/m",""
"2.82","25208-0","SHORTNAME","cycloSERINE 20 ug/mL Islt SlowMyco","cycloSERINE Islt Slgr Mcbct AB 20.0",""
"2.82","25209-8","COMPONENT","cycloSERINE 30.0 ug/mL","cycloSERINE",""
"2.82","25209-8","LONG_COMMON_NAME","cycloSERINE 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","cycloSERINE [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25209-8","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25209-8","SHORTNAME","cycloSERINE 30 ug/mL Islt SlowMyco","cycloSERINE Islt Slgr Mcbct AB 30.0",""
"2.82","25210-6","COMPONENT","Capreomycin 10.0 ug/mL","Capreomycin",""
"2.82","25210-6","LONG_COMMON_NAME","Capreomycin 10 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Capreomycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25210-6","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25210-6","SHORTNAME","Capreomycin 10 ug/mL Islt SlowMyco","Capreomycin Islt Slgr Mcbct AB 10.0",""
"2.82","25211-4","COMPONENT","Capreomycin 20.0 ug/mL","Capreomycin",""
"2.82","25211-4","LONG_COMMON_NAME","Capreomycin 20 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Capreomycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 20.0 ug/m",""
"2.82","25211-4","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 20.0 ug/m",""
"2.82","25211-4","SHORTNAME","Capreomycin 20 ug/mL Islt SlowMyco","Capreomycin Islt Slgr Mcbct AB 20.0",""
"2.82","25212-2","COMPONENT","Capreomycin 30.0 ug/mL","Capreomycin",""
"2.82","25212-2","LONG_COMMON_NAME","Capreomycin 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Capreomycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25212-2","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25212-2","SHORTNAME","Capreomycin 30 ug/mL Islt SlowMyco","Capreomycin Islt Slgr Mcbct AB 30.0",""
"2.82","25213-0","COMPONENT","Kanamycin 6.0 ug/mL","Kanamycin",""
"2.82","25213-0","LONG_COMMON_NAME","Kanamycin 6 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Kanamycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 6.0 ug/mL",""
"2.82","25213-0","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 6.0 ug/mL",""
"2.82","25213-0","SHORTNAME","Kanamycin 6 ug/mL Islt SlowMyco","Kanamycin Islt Slgr Mcbct AB 6.0",""
"2.82","25214-8","COMPONENT","Kanamycin 30.0 ug/mL","Kanamycin",""
"2.82","25214-8","LONG_COMMON_NAME","Kanamycin 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Kanamycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25214-8","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25214-8","SHORTNAME","Kanamycin 30 ug/mL Islt SlowMyco","Kanamycin Islt Slgr Mcbct AB 30.0",""
"2.82","25215-5","COMPONENT","Para aminosalicylate 2.0 ug/mL","Para aminosalicylate",""
"2.82","25215-5","LONG_COMMON_NAME","Para aminosalicylate 2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Para aminosalicylate [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL",""
"2.82","25215-5","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL",""
"2.82","25215-5","SHORTNAME","PAS 2 ug/mL Islt SlowMyco","PAS Islt Slgr Mcbct AB 2.0",""
"2.82","25216-3","COMPONENT","Para aminosalicylate 8.0 ug/mL","Para aminosalicylate",""
"2.82","25216-3","LONG_COMMON_NAME","Para aminosalicylate 8 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Para aminosalicylate [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL",""
"2.82","25216-3","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL",""
"2.82","25216-3","SHORTNAME","PAS 8 ug/mL Islt SlowMyco","PAS Islt Slgr Mcbct AB 8.0",""
"2.82","25217-1","COMPONENT","Isoniazid 0.1 ug/mL","Isoniazid",""
"2.82","25217-1","LONG_COMMON_NAME","Isoniazid 0.1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Isoniazid [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 0.1 ug/mL",""
"2.82","25217-1","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 0.1 ug/mL",""
"2.82","25217-1","SHORTNAME","Isoniazid 0.1 ug/mL Islt SlowMyco","Isoniazid Islt Slgr Mcbct AB 0.1",""
"2.82","25218-9","COMPONENT","Isoniazid 0.2 ug/mL","Isoniazid",""
"2.82","25218-9","LONG_COMMON_NAME","Isoniazid 0.2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Isoniazid [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 0.2 ug/mL",""
"2.82","25218-9","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 0.2 ug/mL",""
"2.82","25218-9","SHORTNAME","Isoniazid 0.2 ug/mL Islt SlowMyco","Isoniazid Islt Slgr Mcbct AB 0.2",""
"2.82","25219-7","COMPONENT","Isoniazid 1.0 ug/mL","Isoniazid",""
"2.82","25219-7","LONG_COMMON_NAME","Isoniazid 1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Isoniazid [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL",""
"2.82","25219-7","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL",""
"2.82","25219-7","SHORTNAME","Isoniazid 1 ug/mL Islt SlowMyco","Isoniazid Islt Slgr Mcbct AB 1.0",""
"2.82","25220-5","COMPONENT","cefOXitin 30.0 ug/mL","cefOXitin",""
"2.82","25220-5","LONG_COMMON_NAME","cefOXitin 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","cefOXitin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25220-5","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25220-5","SHORTNAME","cefOXitin 30 ug/mL Islt SlowMyco","cefOXitin Islt Slgr Mcbct AB 30.0",""
"2.82","25221-3","COMPONENT","Imipenem 10.0 ug/mL","Imipenem",""
"2.82","25221-3","LONG_COMMON_NAME","Imipenem 10 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Imipenem [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25221-3","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25221-3","SHORTNAME","Imipenem 10 ug/mL Islt SlowMyco","Imipenem Islt Slgr Mcbct AB 10.0",""
"2.82","25222-1","COMPONENT","Cefmetazole 30.0 ug/mL","Cefmetazole",""
"2.82","25222-1","LONG_COMMON_NAME","Cefmetazole 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Cefmetazole [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25222-1","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25222-1","SHORTNAME","Cefmetazole 30 ug/mL Islt SlowMyco","Cefmetazole Islt Slgr Mcbct AB 30.0",""
"2.82","25223-9","COMPONENT","Doxycycline 30.0 ug/mL","Doxycycline",""
"2.82","25223-9","LONG_COMMON_NAME","Doxycycline 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Doxycycline [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25223-9","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25223-9","SHORTNAME","Doxycycline 30 ug/mL Islt SlowMyco","Doxycycline Islt Slgr Mcbct AB 30.0",""
"2.82","25224-7","COMPONENT","Erythromycin 15.0 ug/mL","Erythromycin",""
"2.82","25224-7","LONG_COMMON_NAME","Erythromycin 15 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Erythromycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 15.0 ug/mL",""
"2.82","25224-7","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 15.0 ug/mL",""
"2.82","25224-7","SHORTNAME","Erythromycin 15 ug/mL Islt SlowMyco","Erythromycin Islt Slgr Mcbct AB 15.0",""
"2.82","25225-4","COMPONENT","Minocycline 30.0 ug/mL","Minocycline",""
"2.82","25225-4","LONG_COMMON_NAME","Minocycline 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Minocycline [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25225-4","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25225-4","SHORTNAME","Minocycline 30 ug/mL Islt SlowMyco","Minocycline Islt Slgr Mcbct AB 30.0",""
"2.82","25226-2","COMPONENT","sulfiSOXAZOLE 300.0 ug/mL","sulfiSOXAZOLE",""
"2.82","25226-2","LONG_COMMON_NAME","sulfiSOXAZOLE 300 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","sulfiSOXAZOLE [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 300.0 ug/mL",""
"2.82","25226-2","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 300.0 ug/mL",""
"2.82","25226-2","SHORTNAME","Sulfisoxaz 300 ug/mL Islt SlowMyco","Sulfisoxaz Islt Slgr Mcbct AB300.0",""
"2.82","25227-0","COMPONENT","Tobramycin 10.0 ug/mL","Tobramycin",""
"2.82","25227-0","LONG_COMMON_NAME","Tobramycin 10 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Tobramycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25227-0","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL",""
"2.82","25227-0","SHORTNAME","Tobramycin 10 ug/mL Islt SlowMyco","Tobramycin Islt Slgr Mcbct AB 10.0",""
"2.82","25228-8","COMPONENT","Vancomycin 30.0 ug/mL","Vancomycin",""
"2.82","25228-8","LONG_COMMON_NAME","Vancomycin 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Vancomycin [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25228-8","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL",""
"2.82","25228-8","SHORTNAME","Vancomycin 30 ug/mL Islt SlowMyco","Vancomycin Islt Slgr Mcbct AB 30.0",""
"2.82","25229-6","COMPONENT","Pyrazinamide 100.0 ug/mL","Pyrazinamide",""
"2.82","25229-6","LONG_COMMON_NAME","Pyrazinamide 100 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria","Pyrazinamide [Susceptibility] by Method for Slow-growing mycobacteria.antibiotic concentration at 100.0 ug/mL",""
"2.82","25229-6","METHOD_TYP","Method for Slow-growing mycobacteria","Method for Slow-growing mycobacteria.antibiotic concentration at 100.0 ug/mL",""
