"VersionEffective","LOINC_NUM","Property","ValuePrior","ValueCurrent","ChangeReason"
"2.82","101362-2","SHORTNAME","B anthracis DNA Bld Ql NAA+non-probe","B anthracis DNA Bld Ql NAA+n-prb",""
"2.82","101363-0","SHORTNAME","Y pestis DNA Bld Ql NAA+non-probe","Y pestis DNA Bld Ql NAA+n-prb",""
"2.82","101364-8","SHORTNAME","F tular DNA Bld Ql NAA+non-probe","F tular DNA Bld Ql NAA+n-prb",""
"2.82","101365-5","SHORTNAME","C burnet DNA Bld Ql NAA+non-probe","C burnet DNA Bld Ql NAA+n-prb",""
"2.82","101366-3","SHORTNAME","EBOV RNA Bld Ql NAA+non-probe","EBOV RNA Bld Ql NAA+n-prb",""
"2.82","101367-1","SHORTNAME","MARV RNA Bld Ql NAA+non-probe","MARV RNA Bld Ql NAA+n-prb",""
"2.82","101368-9","SHORTNAME","B anthracis DNA Bld Pos Ql NAA+non-probe","B anthracis DNA Bld Pos Ql NAA+n-prb",""
"2.82","101371-3","SHORTNAME","Y pestis DNA Bld Pos Ql NAA+non-probe","Y pestis DNA Bld Pos Ql NAA+n-prb",""
"2.82","101372-1","SHORTNAME","Y pestis DNA Spt Ql NAA+non-probe","Y pestis DNA Spt Ql NAA+n-prb",""
"2.82","101373-9","SHORTNAME","F tular DNA Spt Ql NAA+non-probe","F tular DNA Spt Ql NAA+n-prb",""
"2.82","101445-5","FORMULA","N/A","",""
"2.82","101446-3","FORMULA","N/A","",""
"2.82","101516-3","COMPONENT","Salmonella dublin Ab","Salmonella dublin Ab/Negative control",""
"2.82","101516-3","LONG_COMMON_NAME","Salmonella dublin Ab in Specimen by Immunoassay","Salmonella dublin Ab/Negative control in Specimen by Immunoassay",""
"2.82","101516-3","PROPERTY","AFr","RelRto",""
"2.82","101516-3","SCALE_TYP","Qn","Nom",""
"2.82","101516-3","SHORTNAME","Salmonella dublin Ab Spec IA-%","S dublin Ab Spec IA",""
"2.82","101547-8","COMPONENT","Hepatocyte Ag by paraffin 1","Hepatocyte paraffin 1 Ab",""
"2.82","101547-8","LONG_COMMON_NAME","Hepatocyte Ag by paraffin 1 in Blood or Tissue Qualitative by Immune stain","Hepatocyte Paraffin 1 Ab in Blood or Tissue Qualitative by Immune stain",""
"2.82","101547-8","SHORTNAME","Hepatocyte by paraffin 1 Bld/T Ql ImStn","HepPar 1 Ab Bld/T Ql ImStn",""
"2.82","101623-7","LONG_COMMON_NAME","Semen [Volume] in Urine by Light microscopy --post ejaculation","Semen [Volume] in Urine --post ejaculation",""
"2.82","101623-7","METHOD_TYP","Microscopy.light","",""
"2.82","101623-7","SHORTNAME","Semen p ejac Vol Ur Micro","Semen p ejac Vol Ur",""
"2.82","101736-7","COMPONENT","Brushite crystals","Calcium hydrogen phosphate dihydrate crystals",""
"2.82","101736-7","LONG_COMMON_NAME","Calcium hydrogen phosphate dihydrate (CHPD) in 24 hour Urine","Calcium hydrogen phosphate dihydrate crystals [Energy Difference] in 24 hour Urine",""
"2.82","101736-7","SHORTNAME","Ca H2 Phos dihyd (CHPD) 24h Ur","Ca H2 Phos dihyd Cry 24h EngDiff Ur",""
"2.82","101738-3","COMPONENT","Platelet aggregation.ristocetin induced^250 ug/mL","Platelet aggregation",""
"2.82","101738-3","LONG_COMMON_NAME","Platelet aggregation ristocetin induced in Platelet rich plasma --250 ug/mL","Platelet aggregation in Platelet rich plasma by ristocetin induced 250 ug/mL",""
"2.82","101738-3","METHOD_TYP","","Aggregometry.ristocetin induced.250 ug/mL",""
"2.82","101738-3","SHORTNAME","PA Rist 250 ug/mL PRP","PA PRP Rist 250 ug/mL",""
"2.82","101739-1","COMPONENT","Platelet aggregation.ristocetin induced^125 ug/mL","Platelet aggregation",""
"2.82","101739-1","LONG_COMMON_NAME","Platelet aggregation ristocetin induced in Platelet rich plasma --125 ug/mL","Platelet aggregation in Platelet rich plasma by ristocetin induced 125 ug/mL",""
"2.82","101739-1","METHOD_TYP","","Aggregometry.ristocetin induced.125 ug/mL",""
"2.82","101739-1","SHORTNAME","PA Rist 125 ug/mL PRP","PA PRP Rist 125 ug/mL",""
"2.82","101752-4","SHORTNAME","Tau Prot/p-tau181 MRto  CSF","Tau Prot/p-tau181 MRto CSF","Fixed double space in Shortname"
"2.82","101792-0","METHOD_TYP","","{Role}",""
"2.82","101812-6","FORMULA","N/A","",""
"2.82","101825-8","COMPONENT","Brushite crystals","Calcium hydrogen phosphate dihydrate crystals",""
"2.82","101825-8","LONG_COMMON_NAME","Brushite crystals [Saturation Fraction] in 24 hour Urine","Calcium hydrogen phosphate dihydrate crystals [Saturation Fraction] in 24 hour Urine",""
"2.82","101825-8","SHORTNAME","Brushite Cry 24h SatFr Ur","Ca H2 Phos dihyd Cry 24h SatFr Ur",""
"2.82","101881-1","METHOD_TYP","","{Role}",""
"2.82","101904-1","METHOD_TYP","","{Role}",""
"2.82","101928-0","COMPONENT","SARS-CoV-2 Ag","SARS coronavirus 2 Ag",""
"2.82","101928-0","LONG_COMMON_NAME","SARS-CoV-2 Ag [Presence] in Nasopharynx by Immunofluorescence","SARS-CoV-2 (COVID-19) Ag [Presence] in Nasopharynx by Immunofluorescence",""
"2.82","101949-6","COMPONENT","Mycoplasma genitalium hominis DNA","Mycoplasma genitalium + Mycoplasma hominis DNA",""
"2.82","101949-6","LONG_COMMON_NAME","Mycoplasma genitalium+hominis DNA [Presence] in Wound by NAA with probe detection","Mycoplasma genitalium and Mycoplasma hominis DNA [Presence] in Wound by NAA with probe detection",""
