"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"CHANGED","103619-3","Coagulation","Time","Pt","PPP","Qn","Coag.surface induced.lupus sensitive.buffer (LA control)","COAG"
"BEFORE","103683-9","Cells.CD3+HLA DR+/Lymphocytes","NFr","Pt","BAL","Qn","","CELLMARK"
"CHANGED","103683-9","Cells.CD3+HLA-DR+/Lymphocytes","NFr","Pt","BAL","Qn","","CELLMARK"
"BEFORE","103751-4","Mental health directive form","Find","Pt","{Setting}","Doc","Mental health","DOC.ONTOLOGY"
"CHANGED","103751-4","Directive form","Find","Pt","{Setting}","Doc","Mental health","DOC.ONTOLOGY"
"BEFORE","103971-8","Rehabilitation progress note","Find","Pt","{Setting}","Doc","Cardiovascular disease","DOC.ONTOLOGY"
"CHANGED","103971-8","Rehabilitation+progress note","Find","Pt","{Setting}","Doc","Cardiovascular disease","DOC.ONTOLOGY"
"ADD","104000-5","Anyone in your household currently have any medical bills that you are unable to pay at all","Find","Pt","^Patient","Ord","","MEPS"
"ADD","104001-3","Anyone currently have any medical bills being paid off over time in household","Find","Pt","^Patient","Ord","","MEPS"
"ADD","104002-1","Do you or anyone in the household have problems paying or unable to pay medical bills","Find","12Mo","^Patient","Ord","","MEPS"
"ADD","104003-9","Medical Expenditure Panel Survey (MEPS) Health Insurance (HX) Section","-","Pt","^Patient","-","MEPS.HX","PANEL.SURVEY.MEPS"
"BEFORE","104010-4","16-item Transportation Security Index","-","RptPeriod","^Patient","-","TSI-16","PANEL.SURVEY.SDOH"
"CHANGED","104010-4","16-item Transportation Security Index","-","30D","^Patient","-","TSI-16","PANEL.SURVEY.SDOH"
"BEFORE","104249-8","Platelet aggregation.adenosine diphosphate induced ATP secretion^2 umol/L","RelACnc","Pt","Bld","Qn","","COAG"
"CHANGED","104249-8","Platelet aggregation","RelACnc","Pt","Bld","Qn","Aggregometry.adenosine diphosphate induced ATP secretion.2 umol/L","COAG"
"BEFORE","104250-6","Platelet aggregation.collagen induced^2 ug/mL","RelACnc","Pt","PRP","Qn","","COAG"
"CHANGED","104250-6","Platelet aggregation","RelACnc","Pt","PRP","Qn","Aggregometry.collagen induced.2 ug/mL","COAG"
"BEFORE","104481-7","Platelet aggregation.EPINEPHrine induced^4 umol/L","RelACnc","Pt","Plas","Qn","","COAG"
"CHANGED","104481-7","Platelet aggregation","RelACnc","Pt","Plas","Qn","Aggregometry.epinephrine induced.4 umol/L","COAG"
"BEFORE","104482-5","Platelet aggregation.arachidonate induced^1 umol/L","RelACnc","Pt","Plas","Qn","","COAG"
"CHANGED","104482-5","Platelet aggregation","RelACnc","Pt","Plas","Qn","Aggregometry.arachidonate induced.1 umol/L","COAG"
"BEFORE","104738-0","Hemoglobin.gastrointestinal.lower","PrThr","Pt","Stool","Ord","","HEM/BC"
"CHANGED","104738-0","Hemoglobin","PrThr","Pt","Stool^Patient.gastrointestinal.lower","Ord","","HEM/BC"
"BEFORE","104814-9","Lactate dehydrogenase 1/Lactate dehydrogenase.total","CFr","Pt","Urine","Qn","","MICRO"
"CHANGED","104814-9","Lactate dehydrogenase 1/Lactate dehydrogenase.total","CFr","Pt","Urine","Qn","","CHEM"
"BEFORE","104875-0","Hematocrit^30M post dose glucose","VFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","104875-0","Hematocrit^30M post dose glucose","VFr","Pt","Bld","Qn","","CHAL"
"BEFORE","104876-8","Hematocrit^1H post dose glucose","VFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","104876-8","Hematocrit^1H post dose glucose","VFr","Pt","Bld","Qn","","CHAL"
"BEFORE","104877-6","Hematocrit^1.5H post dose glucose","VFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","104877-6","Hematocrit^1.5H post dose glucose","VFr","Pt","Bld","Qn","","CHAL"
"BEFORE","104878-4","Hematocrit^2H post dose glucose","VFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","104878-4","Hematocrit^2H post dose glucose","VFr","Pt","Bld","Qn","","CHAL"
"BEFORE","104879-2","Hematocrit^2.5H post dose glucose","VFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","104879-2","Hematocrit^2.5H post dose glucose","VFr","Pt","Bld","Qn","","CHAL"
"BEFORE","104880-0","Hematocrit^3H post dose glucose","VFr","Pt","Bld","Qn","","HEM/BC"
"CHANGED","104880-0","Hematocrit^3H post dose glucose","VFr","Pt","Bld","Qn","","CHAL"
"BEFORE","104994-9","Coagulation tissue factor induced.factor substitution^immediately after 1:1 addition of normal plasma/control","RelTime","Pt","PPP","Qn","Coag","COAG"
"CHANGED","104994-9","Coagulation normal/actual","RelTime","Pt","PPP","Qn","Coag.tissue factor induced.factor substitution.immediately after 1:1 addition of normal plasma.control","COAG"
"BEFORE","105010-3","Folate receptor alpha","Imp","Pt","Tiss","Nar","Immune stain","PATH"
"CHANGED","105010-3","Folate receptor alpha Ag","Imp","Pt","Tiss","Nar","Immune stain","PATH"
"BEFORE","105011-1","Claudin 18","Imp","Pt","Tiss","Nar","Immune stain","PATH"
"CHANGED","105011-1","Claudin 18 Ag","Imp","Pt","Tiss","Nar","Immune stain","PATH"
"BEFORE","105046-7","Coagulation surface induced.factor substitution^2H post incubation after 1:1 addition of normal plasma","TRto","Pt","PPP^Control","Qn","Coag","COAG"
"CHANGED","105046-7","Coagulation","TRto","Pt","PPP^Control","Qn","Coag.surface induced.factor substitution.2H post incubation after 1:1 addition of normal plasma","COAG"
"BEFORE","105048-3","Coagulation surface induced.factor substitution^immediately after addition of normal plasma","TRto","Pt","PPP^Control","Qn","Coag","COAG"
"CHANGED","105048-3","Coagulation","TRto","Pt","PPP^Control","Qn","Coag.surface induced.factor substitution.immediately after addition of normal plasma","COAG"
"BEFORE","105049-1","Coagulation tissue factor induced.factor substitution^2H post incubation after 1:1 addition of normal plasma","TRto","Pt","PPP^Control","Qn","Coag","COAG"
"CHANGED","105049-1","Coagulation","TRto","Pt","PPP^Control","Qn","Coag.tissue factor induced.factor substitution.2H post incubation after 1:1 addition of normal plasma","COAG"
"BEFORE","10520-5","Coagulation factor VI Ag","PrThr","Pt","Tiss","Ord","Immune stain","COAG"
"CHANGED","10520-5","Coagulation factor Va Ag","PrThr","Pt","Tiss","Ord","Immune stain","COAG"
