"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"ADD","111763-9","Sampling frequency","NRat","Pt","{Device}","Qn","","ADMIN"
"ADD","111764-7","Sampling context","Find","Pt","{Device}","Nar","","ADMIN"
"ADD","111765-4","Procalcitonin","MCnc","Pt","Ser/Plas/Bld","Qn","IA","CHEM"
"ADD","111766-2","Fibrin D-dimer","MCnc","Pt","Ser/Plas/Bld","Qn","IA.FEU","CHEM"
"ADD","111767-0","Natriuretic peptide.B prohormone N-Terminal","MCnc","Pt","Ser/Plas/Bld","Qn","IA","CHEM"
"ADD","111768-8","SMN1 gene copy number","EntNum","Pt","Bld/Tiss","Qn","Molgen","MOLPATH"
"ADD","111769-6","Was it made for a human to live in","Find","RptPeriod","^Patient","Ord","","SURVEY.SDOH"
"ADD","111770-4","Total score","Score","Pt","^Patient","Qn","AIMS","SURVEY.NEURO"
"ADD","111771-2","Behavioral Risk Factor Surveillance System Adverse Childhood Experiences Module 2021","-","Pt","^Patient","-","ACE.BRFSS","PANEL.SURVEY.MTLHLTH"
"ADD","111772-0","For how much of your childhood was there an adult in your household who made you feel safe and protected","Find","Pt","^Patient","Ord","","SURVEY.MTLHLTH"
"BEFORE","11177-3","Lactalbumin beta Ab.IgE","ACnc","Pt","Ser","Qn","","ALLERGY"
"CHANGED","11177-3","Beta lactoglobulin Ab.IgE","ACnc","Pt","Ser","Qn","","ALLERGY"
"ADD","111773-8","For how much of your childhood was there an adult in your household who tried hard to make sure your basic needs were met","Find","Pt","^Patient","Ord","","SURVEY.MTLHLTH"
"ADD","111774-6","Abnormal movement score","Score","Pt","^Patient","Nom","AIMS","SURVEY.NEURO"
"ADD","111775-3","Do movements disappear in sleep","Find","Pt","^Patient","Nom","","SURVEY.NEURO"
"ADD","111776-1","Edentia","Find","Pt","^Patient","Nom","","SURVEY.NEURO"
"ADD","111777-9","Are dentures usually worn","Find","Pt","^Patient","Nom","","SURVEY.NEURO"
"ADD","111778-7","Current problems with teeth &or dentures","Find","Pt","^Patient","Nom","","SURVEY.NEURO"
"ADD","111779-5","Dental status","-","Pt","^Patient","-","","PANEL.SURVEY.NEURO"
"ADD","111780-3","Patients awareness of abnormal movements","Find","Pt","^Patient","Nom","","SURVEY.NEURO"
"ADD","111781-1","Incapacitation due to abnormal movements","Find","Pt","^Patient","Nom","","SURVEY.NEURO"
"ADD","111782-9","Severity of abnormal movement","Find","Pt","^Patient","Ord","","SURVEY.NEURO"
"ADD","111783-7","Global Judgments","-","Pt","^Patient","-","","PANEL.SURVEY.NEURO"
"ADD","111784-5","Neck, shoulders, hips movement","Find","Pt","^Patient","Ord","","SURVEY.NEURO"
"ADD","111785-2","Trunk Movements","-","Pt","^Patient","-","","PANEL.SURVEY.NEURO"
"ADD","111786-0","Lower extremity movement","Find","Pt","^Patient","Ord","","SURVEY.NEURO"
"ADD","111787-8","Upper extremity movement","Find","Pt","^Patient","Ord","","SURVEY.NEURO"
"ADD","111788-6","Extremity Movements","-","Pt","^Patient","-","","PANEL.SURVEY.NEURO"
"ADD","111789-4","Tongue movement","Find","Pt","^Patient","Ord","","SURVEY.NEURO"
"ADD","111790-2","Jaw movement","Find","Pt","^Patient","Ord","","SURVEY.NEURO"
"ADD","111791-0","Lips and perioral area","Find","Pt","^Patient","Ord","","SURVEY.NEURO"
"ADD","111792-8","Muscles of facial expression","Find","Pt","^Patient","Ord","","SURVEY.NEURO"
"ADD","111793-6","Facial and Oral Movements","-","Pt","^Patient","-","","PANEL.SURVEY.NEURO"
"ADD","111794-4","Abnormal Involuntary Movement Scale Original 14-Item Version","-","Pt","^Patient","-","AIMS","PANEL.SURVEY.NEURO"
"ADD","111795-1","Pain body location qualifier","Find","Pt","^Patient","Nom","","BDYTMP.ATOM"
"ADD","111796-9","Pain body site","Anat","Pt","^Patient","Nom","","BP.ATOM"
"ADD","111797-7","How often did you feel that you belonged at your high school","Find","Pt","^Patient","Ord","","SURVEY.MTLHLTH"
"ADD","111798-5","How often did you feel supported by your friends","Find","Pt","^Patient","Ord","","SURVEY.MTLHLTH"
"ADD","111799-3","How often were there at least two adults, other than your parents, who took a genuine interest in you","Find","Pt","^Patient","Ord","","SURVEY.MTLHLTH"
"ADD","111800-9","How often did you feel that you were able to talk to your family about your feelings","Find","Pt","^Patient","Ord","","SURVEY.MTLHLTH"
"ADD","111801-7","How often did you enjoy participating in your community's traditions","Find","Pt","^Patient","Ord","","SURVEY.MTLHLTH"
"ADD","111802-5","How often did you feel your family stood by you during difficult times","Find","Pt","^Patient","Ord","","SURVEY.MTLHLTH"
"ADD","111803-3","Total score","Score","Pt","^Patient","Qn","PCEs","SURVEY.MTLHLTH"
"ADD","111804-1","Positive Childhood Experiences","-","Pt","^Patient","-","PCEs","PANEL.SURVEY.MTLHLTH"
"ADD","111805-8","Pain Body Site Identification Panel","-","Pt","^Patient","-","","PANEL.CLIN"
"ADD","111806-6","Lived environment national rank","Score","RptPeriod","^Patient","Qn","","CLIN"
"ADD","111807-4","Lived environment state rank","Score","RptPeriod","^Patient","Qn","","CLIN"
"ADD","111808-2","Lived environment risk","Find","RptPeriod","^Patient","Nom","","CLIN"
"ADD","111809-0","Lived environment estimated risk","Find","RptPeriod","^Patient","Nom","","CLIN"
"ADD","111810-8","Lived environment annual mean of particulate matter concentration","MCnc","RptPeriod","Measurement","Qn","","CLIN"
"ADD","111811-6","Healthcare-medically underserved areas- census tract","Score","RptPeriod","Measurement","Qn","","CLIN"
"ADD","111812-4","Healthcare medically underserved areas county","Score","RptPeriod","Measurement","Qn","","CLIN"
"ADD","111813-2","Gini index of income inequality","Score","RptPeriod","Measurement","Qn","","CLIN"
"ADD","111814-0","Visual field vertical extent","Angle","Pt","Eye.right","Qn","Static Automated Perimetry","EYE"
"ADD","111815-7","Visual field vertical extent","Angle","Pt","Eye.left","Qn","Static Automated Perimetry","EYE"
"ADD","111816-5","Visual field horizontal extent","Angle","Pt","Eye.right","Qn","Static Automated Perimetry","EYE"
"ADD","111817-3","Visual field horizontal extent","Angle","Pt","Eye.left","Qn","Static Automated Perimetry","EYE"
"ADD","111818-1","Trial lens cylinder axis","Angle","Pt","Eye.right","Qn","Static Automated Perimetry","EYE"
"ADD","111819-9","Escherichia coli O157:H7 Ag","PrThr","Pt","Stool","Ord","IA.rapid","MICRO"
"ADD","111820-7","Aspergillus sp DNA","Prid","Pt","BAL","Nom","Probe.amp.tar","MOLPATH"
"ADD","111821-5","Aspergillus fumigatus CYP51A gene DNA TR34 & TR46 resistance mutations","Prid","Pt","BAL","Nom","Probe.amp.tar","MOLPATH"
"ADD","111822-3","Metachromatic leukodystrophy comment","Imp","Pt","Bld.dot","Nom","","CHEM"
"ADD","111823-1","Metachromatic leukodystrophy comment","Txt","Pt","Bld.dot","Nar","","CHEM"
"ADD","111824-9","Cerebroside sulfatase","CCnc","Pt","Bld.dot","Qn","","CHEM"
"ADD","111825-6","Metachromatic Leukodystrophy newborn screening panel","-","Pt","Bld.dot","-","","PANEL.CHEM"
"ADD","111826-4","Summary note","Find","Pt","{Setting}","Doc","Cardiovascular disease","DOC.ONTOLOGY"
"ADD","111827-2","Periodic personal health monitoring report","Find","1W","Telehealth","Doc","","DOC.ONTOLOGY"
"ADD","111828-0","Type","Type","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111829-8","Background information","Desc","Pt","^Patient","Nar","Colonoscopy","ENDO.GI"
"ADD","111830-6","Background information","Desc","Pt","Small bowel","Nar","Endoscopy","ENDO.GI"
"ADD","111831-4","Background information","Find","Pt","^Patient","Nar","ERCP","ENDO.GI"
"ADD","111832-2","Number of colonoscopies or enteroscopies","Num","Lifetime","Colon","Qn","","ENDO.GI"
"ADD","111833-0","Physical status classification","Find","Pt","^Patient","Nom","ASA","ENDO.GI"
"ADD","111834-8","Antithrombotic agents","Type","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111835-5","Drug withdrawal period 1","Time","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111836-3","Drug withdrawal period 2","Time","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111837-1","Replacement medicine 1","Type","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111838-9","Replacement medicine 2","Type","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111839-7","Smoking status","Find","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111840-5","Alcohol use","Find","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111841-3","Family history of malignant tumor","Find","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111842-1","Cancer","Hx","Pt","^Family member","Nom","","ENDO.GI"
"ADD","111843-9","Previous history cancer","Find","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111844-7","Helicobacter pylori & infection state","Find","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111845-4","Previous history of abdominal surgeries","Find","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111846-2","Information to be requested","Desc","Pt","Colon","Nar","Colonoscopy","ENDO.GI"
"ADD","111847-0","Information to be requested","Desc","Pt","Small bowel","Nar","Endoscopy","ENDO.GI"
"ADD","111848-8","Information to be requested","Desc","Pt","^Patient","Nar","ERCP","ENDO.GI"
"ADD","111850-4","Patient type","Find","Pt","^Patient","Nom","","ENDO.GI"
"ADD","111851-2","Purpose of examination","Find","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111852-0","Purpose of examination","Type","Pt","Colon","Nom","Colonoscopy","ENDO.GI"
"ADD","111853-8","Purpose of examination","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111854-6","Purpose of examination","Find","Pt","^Patient","Nom","ERCP","ENDO.GI"
"ADD","111855-3","Purpose of treatment","Find","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111856-1","Examination information","Desc","Pt","Colon","Nar","Colonoscopy","ENDO.GI"
"ADD","111857-9","Examination information","Desc","Pt","Small bowel","Nar","Endoscopy","ENDO.GI"
"ADD","111858-7","Examination information","Desc","Pt","^Patient","Nar","ERCP","ENDO.GI"
"ADD","111859-5","Insertion route","Desc","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111860-3","Insertion route","Type","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111861-1","Antispasmodic agents use status","Type","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111862-9","Sedation-analgesia-anesthesia","Type","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111863-7","Type of air-gas","Type","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111864-5","Scope of observation","Desc","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111865-2","Scope of observation","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111866-0","Reached area","Desc","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111867-8","Reached area","Find","Pt","Colon","Nom","Colonoscopy","ENDO.GI"
"ADD","111868-6","Reached area","Find","Pt","^Patient","Nom","ERCP","ENDO.GI"
"ADD","111869-4","Image-Enhanced endoscopy","Desc","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111870-2","Image-Enhanced endoscopy","Type","Pt","Gastrointestinal tract.upper","Nom","Endoscopy","ENDO.GI"
"ADD","111871-0","Image-Enhanced endoscopy","Type","Pt","Colon","Nom","Colonoscopy","ENDO.GI"
"ADD","111872-8","Image-Enhanced endoscopy","Type","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111873-6","Image-Enhanced endoscopy","Find","Pt","^Patient","Nom","ERCP","ENDO.GI"
"ADD","111874-4","Insertion time","Time","Pt","^Patient","Qn","Endoscopy","ENDO.GI"
"ADD","111875-1","Withdrawal time","Time","Pt","^Patient","Qn","Endoscopy","ENDO.GI"
"ADD","111876-9","Total treatment time","Time","Pt","^Patient","Qn","Endoscopy","ENDO.GI"
"ADD","111877-7","Time to access","Time","Pt","Major papilla","Qn","Endoscopy","ENDO.GI"
"ADD","111878-5","Total procedure time","Time","Pt","^Patient","Qn","Endoscopy","ENDO.GI"
"ADD","111879-3","Bowel preparation","Desc","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111880-1","Bowel preparation","Find","Pt","^Patient","Nom","Colonoscopy","ENDO.GI"
"ADD","111881-9","Bowel preparation","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111882-7","Total exposure time","Time","Pt","^Patient","Qn","ERCP","ENDO.GI"
"ADD","111883-5","Prior endoscopic Intervention","Desc","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111884-3","Prior endoscopic Intervention","Find","Pt","^Patient","Nom","ERCP","ENDO.GI"
"ADD","111885-0","Names or numbers of nurses & technicians","Desc","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111886-8","Cholangiography extent","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111887-6","Pancreatography extent","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","111888-4","Cannulation status","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111889-2","Cannulation status","Find","Pt","Pancreatic duct","Nom","Endoscopy","ENDO.GI"
"ADD","111890-0","Diameter","Len","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111891-8","Maximum diameter","Len","Pt","Biliary tract","Qn","Endoscopy","ENDO.GI"
"ADD","111892-6","Upper diameter","Len","Pt","Biliary tract","Qn","Endoscopy","ENDO.GI"
"ADD","111893-4","Mid diameter","Len","Pt","Biliary tract","Qn","Endoscopy","ENDO.GI"
"ADD","111894-2","Lower diameter","Len","Pt","Biliary tract","Qn","Endoscopy","ENDO.GI"
"ADD","111895-9","Diameter","Len","Pt","Pancreatic duct","Nom","Endoscopy","ENDO.GI"
"ADD","111896-7","Maximum diameter","Len","Pt","Pancreatic duct","Qn","Endoscopy","ENDO.GI"
"ADD","111897-5","Head diameter","Len","Pt","Pancreatic duct","Qn","Endoscopy","ENDO.GI"
"ADD","111898-3","Body diameter","Len","Pt","Pancreatic duct","Qn","Endoscopy","ENDO.GI"
"ADD","111899-1","Tail diameter","Len","Pt","Pancreatic duct","Qn","Endoscopy","ENDO.GI"
"ADD","111900-7","Difficulty grade","Find","Pt","^Patient","Nom","ERCP","ENDO.GI"
"ADD","111901-5","Compression percentage rate of the procedure by resident physician","NFr","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111902-3","First approach method","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111903-1","Number of approaches to papilla until deep cannulation","Find","Pt","Biliary duct+Pancreatic duct","Nom","Endoscopy","ENDO.GI"
"ADD","111904-9","Final approach method during deep cannulation","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111905-6","Post-examination information","Desc","Pt","^Patient","Nar","ERCP","ENDO.GI"
"ADD","111906-4","Amylase value next day","{Measurement}","RptPeriod","^Patient","-","Endoscopy","ENDO.GI"
"ADD","111907-2","Adverse event","Desc","Pt","Gastrointestine.upper","Nar","Endoscopy","ENDO.GI"
"ADD","111908-0","Adverse event information","Find","Pt","Colon","Nar","Endoscopy","ENDO.GI"
"ADD","111909-8","Adverse event","Find","Pt","Small bowel","Nar","Endoscopy","ENDO.GI"
"ADD","111910-6","Adverse event","Find","Pt","Biliary duct+Pancreatic duct","Nar","ERCP","ENDO.GI"
"ADD","111911-4","Adverse event during procedure","Find","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111912-2","Adverse event during procedure","Find","Pt","Gastrointestinal tract.upper","Nom","Endoscopy","ENDO.GI"
"ADD","111913-0","Adverse event during procedure","Find","Pt","Colon","Nom","Endoscopy","ENDO.GI"
"ADD","111914-8","Adverse event during procedure","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111915-5","Handling actions for adverse events","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111916-3","Procedure outcome","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111917-1","Adverse events post procedure","Desc","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","111918-9","Adverse events post procedure","Find","Pt","Gastrointestinal tract.upper","Nom","Endoscopy","ENDO.GI"
"ADD","111919-7","Adverse events post procedure","Find","Pt","Colon","Nom","Endoscopy","ENDO.GI"
"ADD","111920-5","Adverse events post procedure","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111921-3","Adverse event","Find","Pt","Biliary duct+Pancreatic duct","Nar","Endoscopy","ENDO.GI"
"ADD","111922-1","Adverse event","Find","Pt","^Patient","Nom","ERCP","ENDO.GI"
"ADD","111923-9","Degree of adverse events","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111924-7","Number of confirmed days of complication","Time","Pt","^Patient","Qn","Endoscopy","ENDO.GI"
"ADD","111925-4","Death occurence period","Time","30D","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","111926-2","Comprehensive diagnosis","Imp","Pt","Colon","Nar","Endoscopy","ENDO.GI"
"ADD","111927-0","Comprehensive diagnosis","Imp","Pt","Small bowel","Nar","Endoscopy","ENDO.GI"
"ADD","111928-8","Diagnosis","Imp","Pt","Head+Neck","Nar","Endoscopy","ENDO.GI"
"ADD","111929-6","Site","Find","Pt","Head+Neck","Nom","Endoscopy","ENDO.GI"
"ADD","111930-4","Endoscopic findings","Find","Pt","Head+Neck","Nom","Endoscopy","ENDO.GI"
"ADD","111931-2","Diagnosis characterization","Find","Pt","Head+Neck","Nom","Endoscopy","ENDO.GI"
"ADD","111932-0","Endoscopic procedure","Find","Pt","Head+Neck","Nom","Endoscopy","ENDO.GI"
"ADD","111933-8","Histopathological diagnosis","Find","Pt","Head+Neck","Nom","Endoscopy","ENDO.GI"
"ADD","111934-6","Diagnosis","Imp","Pt","Esophagus","Nar","Endoscopy","ENDO.GI"
"ADD","111935-3","Site","Find","Pt","Esophagus","Nom","Endoscopy","ENDO.GI"
"ADD","111936-1","Findings","Find","Pt","Esophagus","Nom","Endoscopy","ENDO.GI"
"ADD","111937-9","Endoscopic findings","Find","Pt","Esophagus","Nom","Endoscopy","ENDO.GI"
"ADD","111938-7","Diagnosis characterization","Find","Pt","Esophagus","Nom","Endoscopy","ENDO.GI"
"ADD","111939-5","Endoscopic procedure","Find","Pt","Esophagus","Nom","Endoscopy","ENDO.GI"
"ADD","111940-3","Histopathological diagnosis","Find","Pt","Esophagus","Nom","Endoscopy","ENDO.GI"
"ADD","111941-1","Diagnosis","Imp","Pt","Stomach","Nar","Endoscopy","ENDO.GI"
"ADD","111942-9","Site 1","Find","Pt","Stomach","Nom","Endoscopy","ENDO.GI"
"ADD","111943-7","Site 2","Find","Pt","Stomach","Nom","Endoscopy","ENDO.GI"
"ADD","111944-5","Endoscopic findings","Find","Pt","Stomach","Nom","Endoscopy","ENDO.GI"
"ADD","111945-2","Diagnosis characterization","Find","Pt","Stomach","Nom","Endoscopy","ENDO.GI"
"ADD","111946-0","Endoscopic procedure","Find","Pt","Stomach","Nom","Endoscopy","ENDO.GI"
"ADD","111947-8","Histopathological diagnosis","Find","Pt","Stomach","Nom","Endoscopy","ENDO.GI"
"ADD","111948-6","Diagnosis","Imp","Pt","Duodenum","Nar","Endoscopy","ENDO.GI"
"ADD","111949-4","Site","Find","Pt","Duodenum","Nom","Endoscopy","ENDO.GI"
"ADD","111950-2","Findings","Find","Pt","Duodenum","Nom","Endoscopy","ENDO.GI"
"ADD","111951-0","Diagnosis characterization","Find","Pt","Duodenum","Nom","Endoscopy","ENDO.GI"
"ADD","111952-8","Endoscopic procedure","Find","Pt","Duodenum","Nom","Endoscopy","ENDO.GI"
"ADD","111953-6","Histopathological diagnosis","Find","Pt","Duodenum","Nom","Endoscopy","ENDO.GI"
"ADD","111954-4","Diagnosis","Imp","Pt","Colon","Nar","Endoscopy","ENDO.GI"
"ADD","111955-1","Site","Find","Pt","Colon","Nom","Endoscopy","ENDO.GI"
"ADD","111956-9","Diagnosis & macroscopic findings","Find","Pt","Colon","Nom","Endoscopy","ENDO.GI"
"ADD","111957-7","Characterization diagnosis","Find","Pt","Colon","Nom","Endoscopy","ENDO.GI"
"ADD","111958-5","Endoscopic procedure","Find","Pt","Colon","Nom","Endoscopy","ENDO.GI"
"ADD","111959-3","Histopathological diagnosis","Find","Pt","Colon","Nom","Endoscopy","ENDO.GI"
"ADD","111960-1","Diagnosis","Imp","Pt","Small bowel","Nar","Endoscopy","ENDO.GI"
"ADD","111961-9","Site","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111962-7","Endoscopic findings","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111963-5","Diagnosis characterization","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111964-3","Endoscopic procedure","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111965-0","Histopathological diagnosis","Find","Pt","Small bowel","Nom","Endoscopy","ENDO.GI"
"ADD","111966-8","Diagnosis","Imp","Pt","Major papilla","Nar","Endoscopy","ENDO.GI"
"ADD","111967-6","Site","Find","Pt","Major papilla","Nom","Endoscopy","ENDO.GI"
"ADD","111968-4","Endoscopic findings","Find","Pt","Major papilla","Nom","Endoscopy","ENDO.GI"
"ADD","111969-2","Diagnosis characterization","Find","Pt","Major papilla","Nom","","ENDO.GI"
"ADD","111970-0","Pancreatobiliary endoscopy","Imp","Pt","Major papilla","Nar","Pancreatobiliary Endoscopy","ENDO.GI"
"ADD","111971-8","Pancreatobiliary endoscopy approach","Find","Pt","^Patient","Nom","Pancreatobiliary Endoscopy","ENDO.GI"
"ADD","111972-6","Pancreatobiliary endoscopy purpose","Find","Pt","^Patient","Nom","Pancreatobiliary Endoscopy","ENDO.GI"
"ADD","111973-4","Procedure","Find","Pt","Major papilla","Nom","Endoscopy","ENDO.GI"
"ADD","111974-2","Diagnosis","Imp","Pt","Biliary tract","Nar","Endoscopy","ENDO.GI"
"ADD","111975-9","Site","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111976-7","Endoscopic findings","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111977-5","Diagnosis characterization","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111978-3","Macroscopic classification","Imp","Pt","Biliary tract","Nar","Endoscopy","ENDO.GI"
"ADD","111979-1","Macroscopic morphology classification of cancer and tumor","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111980-9","Macroscopic classification of early cancer","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111981-7","Invasion depth","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111982-5","Pancreatobiliary endoscopy","Imp","Pt","Biliary tract","Nar","Endoscopy","ENDO.GI"
"ADD","111983-3","Pancreatobiliary approach","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111984-1","Pancreatobiliary purpose","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111985-8","Pancreatobiliary model name","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111986-6","Pancreatobiliary findings","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111987-4","Pancreatobiliary cholangioscopic & pancreatoscopic biopsy or cytology","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111988-2","Ultrasound findings","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111989-0","Ultrasound diagnosis","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111990-8","Ultrasound cancer extent diagnosis","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111991-6","Procedure type","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111992-4","Diagnosis","Find","Pt","Biliary tract","Nom","Endoscopy","ENDO.GI"
"ADD","111993-2","Diagnosis","Imp","Pt","Pancreas","Nar","Endoscopy","ENDO.GI"
"ADD","111994-0","Site","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","111995-7","Endoscopic findings","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","111996-5","Diagnosis characterization","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","111997-3","Invasion depth","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","111998-1","Pancreatobiliary endoscopy","Imp","Pt","Pancreas","Nar","Endoscopy","ENDO.GI"
"ADD","111999-9","Pancreatobiliary approach","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","112000-5","Pancreatobiliary purpose","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","112001-3","Pancreatobiliary model name","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","112002-1","Pancreatobiliary findings","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","112003-9","Pancreatobiliary cholangioscopic & pancreatoscopic biopsy or cytology","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","112004-7","Ultrasound findings","Find","Pt","Pancreas","Nom","Diagnostic imaging","ENDO.GI"
"ADD","112005-4","Ultrasound diagnosis","Find","Pt","Pancreas","Nom","Diagnostic imaging","ENDO.GI"
"ADD","112006-2","Cancer diagnosis","Find","Pt","Pancreas","Nom","Diagnostic imaging","ENDO.GI"
"ADD","112007-0","Procedure","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","112008-8","Diagnosis","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","112009-6","Schema diagram","Imp","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","112010-4","Pathology results","Imp","Pt","^Patient","Nar","Endoscopy","ENDO.GI"
"ADD","112011-2","Resecton type","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","112012-0","Resecton type","Find","Pt","Colon","Nom","Endoscopy","ENDO.GI"
"ADD","112013-8","Degree of endoscopic resection","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","112014-6","Endoscopy outcome","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","112015-3","Presence or absence of ulcer","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","112016-1","Presence or absence of non-lifting sign","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","112017-9","Diagnosis","Find","Pt","Major papilla","Nom","Endoscopy","ENDO.GI"
"ADD","112018-7","Cytology","Find","Pt","Major papilla","Nom","Endoscopy","ENDO.GI"
"ADD","112020-3","Stenting site 1","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","112021-1","Stenting site 2","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","112022-9","Stent placement site","Find","Pt","Pancreatic duct","Nom","Endoscopy","ENDO.GI"
"ADD","112023-7","Cyst drainage site","Find","Pt","Pancreas","Nom","Endoscopy","ENDO.GI"
"ADD","112024-5","Stent removal status","Find","Pt","^Patient","Nom","Endoscopy","ENDO.GI"
"ADD","112025-2","Stent patency","Time","Pt","^Patient","Qn","Endoscopy","ENDO.GI"
"ADD","112026-0","Diagnosis","Find","Pt","Biliary duct","Nom","Endoscopy","ENDO.GI"
"ADD","112027-8","Diagnosis","Find","Pt","Gallbladder","Nom","Endoscopy","ENDO.GI"
